date,NIFTY_ALPHA_50,NIFTY500_MOMENTUM_50,NIFTY500_MULTIFACTOR_MQVLV_50,NIFTY500_QUALITY_50,NIFTY500_VALUE_50,NIFTY500_LOW_VOLATILITY_50,NIFTY_HIGH_BETA_50,NIFTY_500
2005-02-02,1482.84,,,,,,,1775.9
2005-02-03,1498.88,,,,,,,1799.8
2005-02-04,1501.01,,,,,,,1798.2
2005-02-07,1503.08,,,,,,,1786.7
2005-02-08,1502.19,,,,,,,1788.85
2005-02-09,1520.98,,,,,,,1805.15
2005-02-10,1511.91,,,,,,,1803
2005-02-11,1512.57,,,,,,,1817.5
2005-02-14,1520.5,,,,,,,1828.65
2005-02-15,1517.29,,,,,,,1819.05
2005-02-16,1505.59,,,,,,,1803.45
2005-02-17,1491.14,,,,,,,1797.25
2005-02-18,1492.25,,,,,,,1794.1
2005-02-21,1476.1,,,,,,,1781.5
2005-02-22,1486.31,,,,,,,1793.2
2005-02-23,1502.13,,,,,,,1794.95
2005-02-24,1501.16,,,,,,,1794.55
2005-02-25,1493.4,,,,,,,1796.3
2005-02-28,1519.41,,,,,,,1827.4
2005-03-01,1519.79,,,,,,,1811.9
2005-03-02,1545.47,,,,,,,1825.3
2005-03-03,1569.83,,,,,,,1854.3
2005-03-04,1583.7,,,,,,,1871.95
2005-03-07,1600.39,,,,,,,1883.6
2005-03-08,1614.15,,,,,,,1893.2
2005-03-09,1596.13,,,,,,,1881.8
2005-03-10,1622.7,,,,,,,1889
2005-03-11,1626.71,,,,,,,1880.85
2005-03-14,1614.54,,,,,,,1871.8
2005-03-15,1594.65,,,,,,,1860.6
2005-03-16,1592.32,,,,,,,1859.65
2005-03-17,1575.14,,,,,,,1835.95
2005-03-18,1565.85,,,,,,,1838.35
2005-03-21,1584.54,,,,,,,1829.3
2005-03-22,1557.99,,,,,,,1793.3
2005-03-23,1504.9,,,,,,,1758.5
2005-03-24,1498.9,,,,,,,1748.6
2005-03-28,1511.81,,,,,,,1762.6
2005-03-29,1484.34,,,,,,,1724.65
2005-03-30,1503.5,,,,,,,1737.45
2005-03-31,1543.13,,,,,,,1772.85
2005-04-01,1589.39,1000,1000,1000,1000,1000,,1805.3
2005-04-04,1607.36,1015.42,998.17,996.81,994.18,1002.46,,1804.05
2005-04-05,1598.08,1008.76,989.12,985.34,980.92,998.47,,1793.05
2005-04-06,1619.39,1025.13,998.57,994.42,1001.34,1003.99,,1807
2005-04-07,1622.37,1019.09,1001.89,992.09,1001.88,999.23,,1798.4
2005-04-08,1605.66,1009.69,995.68,982.17,996.57,989.93,,1783.3
2005-04-11,1582.9,999.58,990.65,973.97,990.16,982.73,,1764.35
2005-04-12,1597.09,1005.32,999.63,982.55,996.6,990.83,,1778.2
2005-04-13,1598.94,1005.21,1002.15,982.54,997.5,994.08,,1779.35
2005-04-15,1552.51,970.69,982.36,948.26,971.11,970.63,,1726.75
2005-04-18,1530.89,958.05,972.68,934.03,965.13,960.09,,1706.45
2005-04-19,1526.52,957.1,969.2,922.97,955.63,956.23,,1693.55
2005-04-20,1542.32,970.42,981.72,941.84,960.54,966.59,,1707
2005-04-21,1576.45,988.07,989.56,953.51,973.16,974.66,,1727.15
2005-04-22,1601.09,1011.97,1000.93,964.93,975.25,986.01,,1742.15
